,Units,Simulation 1,Simulation 1,Simulation 2,Simulation 2,Simulation 3,Simulation 3,Simulation 4,Simulation 4,Simulation 5,Simulation 5,Simulation 6,Simulation 6,Simulation 7,Simulation 7,Simulation 8,Simulation 8,Simulation 9,Simulation 9,Simulation 10,Simulation 10,Simulation 11,Simulation 11,Simulation 12,Simulation 12,Simulation 13,Simulation 13,Simulation 14,Simulation 14,Simulation 15,Simulation 15,Simulation 16,Simulation 16,Simulation 17,Simulation 17,Simulation 18,Simulation 18,Simulation 19,Simulation 19,Simulation 20,Simulation 20,Simulation 21,Simulation 21,Simulation 22,Simulation 22,Simulation 23,Simulation 23,Simulation 24,Simulation 24,Simulation 25,Simulation 25,Simulation 26,Simulation 26,Simulation 27,Simulation 27,Simulation 28,Simulation 28,Simulation 29,Simulation 29,Simulation 30,Simulation 30
Shading efficiency,%,23.95,91.77,99.28,99.89,99.5,69.53,98.25,99.98,100,99.99,92.14,99.97,100,100,100,99.11,100,100,100,100,99.93,100,100,100,100,99.96,100,100,100,100,99.78,100,100,100,100,98.99,100,100,100,100,95.86,99.98,100,100,100,86.79,99.53,99.99,100,99.97,60.53,95.9,99.65,99.9,99.08,22.79,90.25,98.63,99.44,98.24
Cosine efficiency,%,38.54,69.28,73.14,74.38,73.49,63.1,71.99,75.36,76.54,75.77,69.26,74.71,77.6,78.64,77.74,72.63,76.93,79.53,80.36,79.32,74.2,78.06,80.49,81.23,80.2,74.41,78.23,80.67,81.49,80.58,73.74,77.75,80.34,81.27,80.43,72.46,76.84,79.51,80.42,79.47,70.59,75.43,78.02,78.75,77.55,67.94,73.44,75.98,76.53,75.13,60.02,70.77,73.76,74.38,72.85,37.84,68.83,72.43,73.41,72.1
Reflection efficiency,%,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
Blocking efficiency,%,98.12,98.24,98.84,99.11,98.92,98,98.65,99.36,99.58,99.45,98.29,99.24,99.62,99.6,99.62,98.79,99.63,99.58,99.56,99.59,99.15,99.62,99.56,99.57,99.57,99.21,99.61,99.56,99.59,99.56,99.05,99.62,99.56,99.57,99.56,98.76,99.63,99.59,99.56,99.59,98.46,99.4,99.61,99.6,99.62,98.14,98.93,99.49,99.58,99.31,97.9,98.43,98.97,99.12,98.79,98.09,98.19,98.71,98.89,98.65
Attenuation efficiency,%,96.81,96.83,96.84,96.84,96.84,96.81,96.84,96.84,96.84,96.84,96.83,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.85,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.84,96.83,96.84,96.84,96.84,96.84,96.81,96.84,96.84,96.84,96.84,96.8,96.83,96.84,96.84,96.84
Image intercept efficiency,%,92.21,95.82,96.13,96.22,96.16,95.28,96.04,96.29,96.38,96.32,95.82,96.25,96.46,96.54,96.47,96.1,96.41,96.61,96.67,96.59,96.22,96.5,96.68,96.74,96.66,96.24,96.51,96.7,96.76,96.69,96.19,96.48,96.67,96.75,96.68,96.08,96.4,96.61,96.68,96.6,95.93,96.3,96.49,96.55,96.45,95.71,96.15,96.34,96.38,96.28,94.99,95.94,96.18,96.22,96.11,91.98,95.78,96.07,96.15,96.04
Absorption efficiency,%,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
Solar field optical efficiency,%,6.99,50.11,57.78,59.34,58.25,34.3,56.11,60.37,61.52,60.78,50.32,59.75,62.45,63.33,62.57,57.23,61.89,64.08,64.77,63.9,59.24,62.84,64.89,65.53,64.64,59.47,62.98,65.05,65.77,64.97,58.71,62.59,64.76,65.56,64.84,57.01,61.81,64.06,64.83,64.03,53.52,60.45,62.81,63.43,62.41,46.38,58.23,60.98,61.51,60.15,28.28,53.67,58.6,59.35,57.39,6.51,48.92,56.73,58.13,56.2
Average incident flux,kW/m2,44.9,322.1,371.4,381.5,374.4,220.5,360.7,388.1,395.5,390.7,323.5,384.1,401.4,407.1,402.2,367.9,397.8,411.9,416.4,410.8,380.8,404,417.1,421.2,415.5,382.3,404.9,418.1,422.8,417.6,377.4,402.3,416.3,421.5,416.8,366.5,397.3,411.8,416.7,411.6,344.1,388.6,403.7,407.7,401.2,298.1,374.3,392,395.4,386.6,181.8,345,376.7,381.5,369,41.9,314.5,364.7,373.7,361.3
Peak incident flux,kW/m2,131.1,1060.5,1172.2,1189.9,1175.4,678.2,1155.4,1191.3,1189.6,1190.7,1064.7,1191.6,1180,1167.8,1178.8,1171.3,1185.7,1150.4,1130.2,1154.7,1191.1,1173.3,1124,1094.7,1132.7,1190.9,1170.6,1117.3,1078.8,1120.5,1184.9,1176.5,1128.4,1092.9,1125.2,1169.5,1186.8,1151,1128.4,1151.7,1131.9,1191.3,1175.7,1165.6,1180.6,973.1,1179.5,1189.7,1188.9,1191,518.6,1134.3,1180,1189.7,1168.7,124,1033,1158.6,1178,1154.8
,,61181.58632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
